Formula,Exact mass
H,1.00782503223
H2,2.01565006446
B,11.00930536
C,12.0
HB,12.017130392230001
CH,13.00782503223
H2B,13.02495542446
N,14.00307400443
CH2,14.01565006446
H3B,14.03278045669
HN,15.01089903666
CH3,15.02347509669
O,15.99491461957
H2N,16.01872406889
CH4,16.03130012892
HO,17.0027396518
H3N,17.02654910112
H2O,18.01056468403
F,18.99840316273
HF,20.00622819496
B2,22.01861072
C2,24.0
C2H,25.00782503223
BN,25.01237936443
CN,26.003074004429998
C2H2,26.01565006446
CH3B,26.03278045669
H4B2,26.04991084892
BO,27.004219979570003
CHN,27.01089903666
C2H3,27.02347509669
CO,27.99491461957
N2,28.00614800886
C2H4,28.03130012892
CHO,29.0027396518
CH3N,29.02654910112
C2H5,29.03912516115
NO,29.997988624
CH2O,30.01056468403
H2N2,30.02179807332
H3BO,30.027695076260002
CH4N,30.03437413335
C2H6,30.04695019338
P,30.97376199842
HNO,31.00581365623
CH3O,31.01838971626
H3N2,31.029623105549998
CH5N,31.04219916558
S,31.9720711744
HP,31.981587030649997
O2,31.98982923914
H2NO,32.01363868846
CH4O,32.02621474849
H4N2,32.03744813778
HS,32.97989620663
H2P,32.98941206288
HO2,32.99765427137
CH2F,33.014053227190004
H3NO,33.02146372069
H8BN,33.07497962227
H2S,33.98772123886
H3P,33.99723709511
H2O2,34.0054793036
CH3F,34.02187825942
Cl,34.968852682
FO,34.9933177823
H5NO,35.03711378515
HCl,35.97667771423
HFO,36.00114281453
H3B3,36.051391176690004
CBN,37.012379364430004
H4FN,37.03277729608
F2,37.99680632546
C3H2,38.01565006446
H5B3,38.06704124115001
C3H4,40.03130012892
C2H3N,41.02654910112
C3H5,41.03912516115
BP,41.98306735842
CNO,41.997988624
N3,42.00922201329
C2H2O,42.01056468403
CH2N2,42.02179807332
C3H6,42.04695019338
CHNO,43.00581365623
HN3,43.01704704552
C2H3O,43.01838971626
C2H5N,43.04219916558
C3H7,43.05477522561
CS,43.9720711744
CO2,43.98982923914
N2O,44.00106262843
C2HF,44.00622819496
HBO2,44.00695963137
CH2NO,44.01363868846
C2H4O,44.02621474849
CH4N2,44.03744813778
C2H6N,44.050024197810004
C3H8,44.06260025784
CHO2,44.99765427137
CH3NO,45.02146372069
H3N3,45.03269710998
C2H5O,45.03403978072
C2H7N,45.05784923004
NS,45.97514517883
